State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
WI,REP,CHALLENGER,"LEAH FOR SENATE","VUKMIR, LEAH",BROOKFIELD,2011412,1581823,00,C00655522
CA,IND,CHALLENGER,"EISEN FOR SENATE 2018","EISEN, MICHAEL DR",BERKELEY,5552,690,00,C00648709
MI,GRE,CHALLENGER,"COMMITTEE TO ELECT ANITA BELLE","BELLE, ANITA E",DETROIT,4596,223,00,C00654913
TX,REP,CHALLENGER,"BRUCE JACOBSON JR FOR US SENATE","JACOBSON JR, BRUCE","NORTH RICHLAND HIL",135315,135331,00,C00661298
WI,DEM,INCUMBENT,"TAMMY BALDWIN FOR SENATE","BALDWIN, TAMMY",MADISON,19329651,13713894,00,C00326801
FL,REP,CHALLENGER,"ROQUE ROCKY DE LA FUENTE FOR ROCKY 101 LLC FLORIDA 2018 SENATE ACCOUNT","DE LA FUENTE, ROQUE 'ROCKY'","TAMPA ",45000,15526,00,C00677682
NV,DEM,CHALLENGER,"ROSEN FOR NEVADA","ROSEN, JACKY","LAS VEGAS",9401407.67,5588073.32,00,C00606939
CA,DEM,CHALLENGER,"KEVIN DE LEON FOR SENATE","DE LEON, KEVIN","LONG BEACH",1318244,892279,00,C00658773
CA,DEM,CHALLENGER,"STEVE STOKES FOR SENATE","STOKES, STEVE","LOS ANGELES",135,918,00,C00559914
AZ,GRE,OPEN,"EVE REYES-AGUIRRE COMMITTEE TO ELECT","REYES-AGUIRRE, EVE",PHOENIX,2368,1750,00,C00669424
MI,IND,CHALLENGER,"WILLIS FOR US SENATE","WILLIS, VALERIE LEE",CHEBOYGAN,2187,2170,00,C00675256
MA,IND,CHALLENGER,"ALLEN WATERS FOR SENATE","WATERS, ALLEN RODNEY",MASHPEE,2395.86,2971,00,C00639161
CA,REP,CHALLENGER,"ERIN CRUZ FOR US SENATE","CRUZ, ERIN","SAN DIEGO",30631,30588,00,C00665406
CA,NOP,CHALLENGER,"DAVID MOORE FOR SENATE","MOORE, DAVID",OAKLAND,12097,12096,00,C00675264
MN,DEM,INCUMBENT,"TINA SMITH FOR MINNESOTA","SMITH, TINA FLINT","SAINT PAUL",4855513,3296947,00,C00663781
MN,DFL,CHALLENGER,"PAINTER MINNESOTA ","PAINTER, RICHARD","MENDOTA HEIGHTS",234134,151545,00,C00673152
MO,IND,CHALLENGER,"O'DEAR FOR US SENATE","O''DEAR, CRAIG S","KANSAS CITY",454344,313739,00,C00666214
MO,REP,CHALLENGER,"SMITH U S SENATE COMMITTEE","SMITH, CHRISTINA","JEFFERSON CITY",5137,5112,00,C00681809
UT,REP,OPEN,"MEYERS FOR SENATE","MEYERS, LARRY MICHAEL","ST GEORGE",15190,11271,00,C00664854
IN,REP,CHALLENGER,"I LIKE LUKE","MESSER, ALLEN LUCAS",SHELBYVILLE,3048958,4098106,00,C00460667
IN,IND,CHALLENGER,"FRIENDS OF PIPER","PIPER, JOHN PATRICK",GREENWOOD,17500,20904,00,C00654483
AL,DEM,CHALLENGER,"FRIENDS OF ROBERT KENNEDY JR","KENNEDY, ROBERT JR",MOBILE,37129,37129,00,C00640557
AL,DEM,CHALLENGER,"HANSEN FOR ALABAMA","HANSEN, LEWIS MICHAEL JR",BIRMINGHAM,17406,16770,00,C00641704
MO,REP,CHALLENGER,"JOSH HAWLEY FOR SENATE","HAWLEY, JOSHUA DAVID","ST LOUIS",5320513,2996644,00,C00652727
WA,IND,CHALLENGER,"FRIENDS OF JENNIFER GIGI FERGUSON","FERGUSON, JENNIFER MRS","UNIVERSITY PLACE",37881,31828,00,C00679480
TN,REP,OPEN,"STEPHEN FINCHER FOR SENATE","FINCHER, STEPHEN",JACKSON,1528588.03,2127792.9,00,C00466854
WA,REP,CHALLENGER,"FRIENDS OF DAVE BRYANT FOR US SENATE","BRYANT, DAVID R","BONNEY LAKE",14022,1134,00,C00679456
AL,DEM,CHALLENGER,"WILL BOYD FOR US SENATE","BOYD JR, WILLIE 'WILL'  EUGENE",FLORENCE,15830,15753,00,C00646513
AL,REP,CHALLENGER,"TRIP PITTMAN FOR US SENATE","PITTMAN, LEE DAVIDSON MARBURY",DAPHNE,479475,479473,00,C00646737
AL,REP,CHALLENGER,"GENTILE FOR ALABAMA","GENTILE, DOMINIC",BIRMINGHAM,23706,23706,00,C00639393
AZ,DEM,OPEN,"DAVID A RUBEN FOR US SENATE","RUBEN, DAVID ALAN",TUCSON,15860,15860,00,C00667725
MT,REP,CHALLENGER,"RON MURRAY FOR US SENATE","MURRAY, RONALD",BELGRADE,1455,1348,00,C00648337
CA,REP,CHALLENGER,"ELECT ARUN BHUMITRA FOR US SENATE","BHUMITRA, ARUN K",TORRANCE,70667,70667,00,C00676411
WA,DEM,CHALLENGER,"COMMITTEE TO ELECT DON RIVERS FOR UNITED STATES SENATE","RIVERS, DON L MR",SEATTLE,27422,27597,00,C00558346
OH,REP,CHALLENGER,"FRIENDS TO ELECT MELISSA ACKISON","ACKISON, MELISSA",MARYSVILLE,38378,47019,00,C00656512
AL,REP,CHALLENGER,"JUDGE ROY MOORE FOR US SENATE","MOORE, ROY JUDGE",MONTGOMERY,6263667,6151648,00,C00639401
CT,DEM,CHALLENGER,"FRIENDS OF DR ANN-MARIE ADAMS FOR US SENATE","ADAMS, ANN MARIE DR",AVON,3571,3571,00,C00654137
